DEPTH,CALS,DEVI,DRHO,FC13,FC24,FCAL,TENS,HTEN,MRES,MTEM,NPHI,LLD,LLS,SPED,PEF,MSFL,SP,GR,RHOB,DT
1732.7707,12.4885,40.1461,-0.01466724,12.1682,12.1703,12.1693,3285.928,1464.462,0.048833101,61.5798,0.328,-3,2.222445936,696.0103,4.698056278,-1,47.8269,18.7508,2.449075612,55.5365
1732.9231,12.4885,40.1342,-0.01466724,12.1732,12.1721,12.1727,3305.801,1481.994,0.048833101,61.6257,0.3364,-3,2.222445936,694.9136,4.698056278,-1,47.7395,19.7254,2.449075612,55.5513
1733.0755,12.4885,40.1259,-0.01466724,12.1771,12.1754,12.1762,3313.32,1488.979,0.048833101,61.6146,0.3161,-3,2.222445936,689.0294,4.698056278,-1,47.6271,19.5733,2.449075612,55.2468
1733.2279,12.4882,40.1236,-0.01466724,12.1765,12.1766,12.1765,3314.932,1487.582,0.048833101,61.6151,0.3017,-3,2.222445936,691.6232,4.698056278,-1,47.8144,19.3945,2.449075612,55.3891
1733.3803,12.4882,40.1154,-0.01466724,12.1779,12.1735,12.1757,3307.144,1490.589,0.048833101,61.6073,0.2819,-3,2.222445936,689.665,4.698056278,-1,48.1265,19.0501,2.449075612,55.4553
1733.5327,12.4882,40.1074,-0.01466724,12.1767,12.1736,12.1751,3299.087,1483.429,0.048833101,61.6224,0.2751,-3,2.222445936,689.665,4.698056278,-1,48.4136,18.8757,2.449075612,55.3478
1733.6851,12.4885,40.0981,-0.01466724,12.1767,12.1731,12.1749,3300.161,1484.408,0.048833101,61.5953,0.2777,-3,2.222445936,690.2606,4.698056278,-1,48.7258,18.3435,2.449075612,55.3011
1733.8375,12.4885,40.0887,-0.01466724,12.1731,12.1732,12.1732,3306.875,1487.924,0.048833101,61.6017,0.2776,-3,2.222445936,692.9345,4.698056278,-1,49.1253,17.6234,2.449075612,55.7987
1733.9899,12.4887,40.0839,-0.01466724,12.1716,12.1713,12.1715,3304.458,1487.078,0.048833101,61.6018,0.3081,-3,2.222445936,692.0471,4.698056278,-1,49.4124,16.4237,2.449075612,55.7669
1734.1423,12.4889,40.078,-0.01466724,12.1701,12.1702,12.1701,3296.401,1483.533,0.048833101,61.6319,0.3213,-3,2.222445936,691.8124,4.698056278,-1,49.7495,15.7819,2.449075612,55.6511
1734.2947,12.4892,40.0693,-0.01466724,12.1731,12.1696,12.1714,3291.299,1474.865,0.048833101,61.643,0.3305,-3,2.222445936,691.8124,4.698056278,-1,50.2614,15.3056,2.449075612,55.6892
1734.4471,12.4894,40.0575,-0.01466724,12.1784,12.1708,12.1746,3294.79,1472.193,0.048833101,61.6374,0.3011,-3,2.222445936,689.3849,4.698056278,-1,50.7233,14.7555,2.449075612,55.7221
1734.5995,12.4894,40.0513,-0.01466724,12.1788,12.1701,12.1745,3297.476,1470.056,0.048833101,61.6131,0.2997,-3,2.222445936,691.1083,4.698056278,-1,50.973,14.5587,2.449075612,55.675
1734.7519,12.4894,40.0468,-0.01466724,12.1738,12.1746,12.1742,3290.762,1472.482,0.048833101,61.6149,0.323,-3,2.222445936,682.1026,4.698056278,-1,51.0978,14.853,2.449075612,55.8306
1734.9043,12.4892,40.0403,-0.01466724,12.1703,12.1781,12.1742,3284.854,1471.918,0.048833101,61.5764,0.3376,-3,2.222445936,682.1026,4.698056278,-1,51.1353,15.1281,2.449075612,56.0029
1735.0567,12.4892,40.0313,-0.01466724,12.1675,12.1803,12.1739,3280.288,1468.125,0.048833101,61.5424,0.3376,-3,2.222445936,687.1342,4.698056278,-1,51.1852,15.5957,2.449075612,55.6594
1735.2091,12.4887,40.0207,-0.01466724,12.1714,12.1791,12.1752,3283.511,1468.569,0.048833101,61.5347,0.3317,-3,2.222445936,682.5176,4.698056278,-1,51.1228,15.2564,2.449075612,55.6913
